taker,part1,part2,part3,part4,part5
1,144,58,74,108,72
2,160,66,62,116,132
3,178,56,84,162,94
4,110,36,30,92,98
5,142,70,70,128,74
6,206,66,96,164,112
7,132,50,50,96,104
8,156,50,70,114,74
9,124,56,54,132,96
10,190,76,84,172,130
11,150,50,66,102,76
12,176,50,66,126,118
13,126,50,30,138,84
14,176,76,80,164,96
15,154,60,40,98,88
16,136,40,80,78,56
17,110,40,46,104,86
18,136,60,88,134,96
19,184,54,96,138,104
20,190,76,90,160,140
21,156,50,82,130,116
22,172,18,40,114,80
23,178,70,100,138,110
24,104,48,38,104,98
25,184,58,54,108,110
26,164,72,70,146,74
27,164,60,76,142,136
28,200,34,72,118,110
29,104,42,44,74,92
30,88,46,66,100,80
31,144,60,66,146,102
32,190,54,80,162,114
33,226,60,82,176,134
34,144,48,60,130,94
35,162,50,66,116,82
36,162,66,44,108,130
37,194,44,98,176,102
38,104,34,46,98,62
39,224,76,92,154,122
40,178,62,96,122,94
41,130,44,56,92,62
42,144,44,52,104,66
43,70,60,60,55,100
44,100,50,87,150,100
45,222,70,70,150,84
46,210,70,86,170,144
47,194,60,84,160,128
48,56,8,10,8,20
49,162,50,46,118,68
50,146,54,56,108,112
51,144,50,60,126,68
52,170,62,82,112,88
53,190,76,96,104,110
54,156,76,96,154,120
55,226,72,70,192,134
56,146,24,54,84,82
57,132,54,60,126,102
58,158,44,68,66,106
59,160,56,92,142,100
60,162,60,76,158,136
61,200,46,86,142,128
62,210,46,50,154,112
63,186,76,72,150,114
64,200,66,76,120,120
65,184,64,102,174,128
66,134,56,62,174,120
67,162,50,54,132,104
68,146,56,58,144,124
69,156,60,80,154,120
70,210,70,96,162,134
